fecha,cpi_u_nsa,fuente,url,consultado
1998-09-01,163.6,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-10-01,164.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-11-01,164.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1998-12-01,163.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-01-01,164.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-02-01,164.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-03-01,165.0,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-04-01,166.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-05-01,166.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-06-01,166.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-07-01,166.7,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-08-01,167.1,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-09-01,167.9,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-10-01,168.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-11-01,168.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
1999-12-01,168.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-01-01,168.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-02-01,169.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-03-01,171.2,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-04-01,171.3,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-05-01,171.5,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-06-01,172.4,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
2000-07-01,172.8,"U.S. Bureau of Labor Statistics, CPI-U all items, U.S. city average, NSA, 1982-84=100",https://www.bls.gov/regions/midwest/data/consumerpriceindexhistorical_us_table.pdf,2026-09-20
